Country,Website,Publisher Name,Twitter Handle,Twitter Followers,FB Handle,FB Followers,Instagram Handle,Instagram Followers,Youtube Handle,Youtube Subscribers,Logo Image,Primary Colour,Secondary Colour,Language
India,navodayatimes.in,NAVODAYATIMES,@navodaya_times,439,@NavodayaTimes,"571,093",@NavodayaTimes,"4,933",@NavodayaTimes,225K,https://pbs.twimg.com/profile_images/1169901209567682561/lr0Zfe5b_400x400.png,#347BBD,#ffffff,Hindi/English
India,punjabkesari.in,Punjab Kesari,@punjabkesari,181.2K,@Pkesarionline,"5,854,148",@punjabkesari,130K,Punjab Kesari TV,2.66m,https://pbs.twimg.com/profile_images/1189391143504449536/uEAIUk5C_400x400.png,#C63024,#ffffff,Hindi/English
India,thehindubusinessline.com,Business Line,@businessline,71.3K,@TheHinduBusinessLine,"673,132",@TheHinduBusinessLine,55.3K,@TheHinduBusinessLine,18.8K,https://pbs.twimg.com/profile_images/957869189968027648/oTR2uMBv_200x200.jpg,#0066B3,#ffffff,English
India,freepressjournal.in,Free Press Jounal,@fpjindia,19.7K,@FreePressJournal,"18,028",TheFreePressJournal,"7,643",TheFreePressJournal,47.5K,https://pbs.twimg.com/profile_images/1047092252504281088/xjE34S_Z_400x400.jpg,#BA0406,#ffffff,English
India,mumbaimirror.indiatimes.com,Mumbai Mirror,@mumbaimirror,393.1K,@mumbaimirror,"425,093",_mumbaimirror,44.8K,@mumbaimirror,33.6K,https://pbs.twimg.com/profile_images/602018423887953920/JxUnVH5l_200x200.jpg,#000000,#ffffff,English
India,dailypioneer.com,The Pioneer,@TheDailyPioneer,24.1K,@dailypioneer ,"37,069",@dailypioneer ,825,NaN,NaN,https://pbs.twimg.com/profile_images/907495854289805312/Cgzn3nmb_400x400.jpg,#FFCC06,#ffffff,English
India,news.statetimes.in,State Times,@State_Times,"2,058",State Times,"446,620",@statetimes,61,@statetimes,949,https://pbs.twimg.com/profile_images/495437442632007680/uAyVHzG3_400x400.png,#FF251D,#ffffff,English
India,spotboye.com,SportboyE,@Spotboye,573.1K,@statetimes,"3,089,331",@Spotboye,18.6K,@Spotboye,578K,https://pbs.twimg.com/profile_images/1214416421196664832/ho3b-qVM_400x400.jpg,#000000,#ffffff,English
India,bangaloremirror.indiatimes.com,Bangalore Mirror,@BangaloreMirror,177.5K,@BangaloreMirror,"264,074",@BangaloreMirror,34K,@BangaloreMirror,593,https://pbs.twimg.com/profile_images/875652453319852032/F-V8lsgA_400x400.jpg,#000000,#ffffff,English
Nigeria,pulse.ng,Pulse Nigeria,@PulseNigeria247,216K,@PulseNigeria247,"4,554,393",@PulseNigeria247,2.6M,@PulseNigeria247,239K,https://pbs.twimg.com/profile_images/998589642332028931/1cOiDOl7_400x400.jpg,#ba2e26,#ffffff,English
Nigeria,punchng.com,Punch Newspapers,@MobilePunch,3.7M,@punchnewspaper,"2,293,507",@punchnewspaper,705K,@thepunchnewspaper,34.6K,https://pbs.twimg.com/profile_images/1215182188041379840/p_qb8fWu_400x400.jpg,#000000,#ffffff,English
Nigeria,vanguardngr.com,vanguard newspapers,@vanguardngrnews,2.8M,@Vanguardnews,"3,314,074",@Vanguardnews,453K,@Vanguardngr.com,3.03K,https://pbs.twimg.com/profile_images/1311598472240431109/MAalocvx_400x400.jpg,#ff0000,#ffffff,English
Nigeria,nairametrics.com,Nairametrics,@Nairametrics,71.1K,@Nairametrics,"17,973",@Nairametrics,27.5K,@Nairametrics,462,https://pbs.twimg.com/profile_images/1216314095428870145/QCJufoXP_400x400.png,#283b91,#ffffff,English
Nigeria,thisdaylive.com,THISDAY LIVE,@THISDAYLIVE,1.3M,@THISDAYLIVE,"961,971",@THISDAYLIVE,"4,974",NaN,NaN,https://pbs.twimg.com/profile_images/2478953412/tze8i93mwynorieaezpq_400x400.jpeg,#cc0b0b,#ffffff,English
Nigeria,guardian.ng,The Guardian Nigeria,@GuardianNigeria,1.9M,@GuardianNigeria,"840,272",@GuardianNigeria,344K,@GuardianNigeria,17.2K,https://pbs.twimg.com/profile_images/1083976198609350656/CJzypjqN_400x400.jpg,#00adee,#ffffff,English
